This is a log file for AL01_192-168-0-1.log.
Generated on 2025-10-12 12:12:08.Sat Feb 18 13:03:48.478 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:48.488 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:48.498 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:48.508 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:48.519 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:49.475 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:49.485 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:49.495 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:49.505 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:49.516 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:49.526 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:51.475 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:51.485 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:51.495 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:51.505 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:51.516 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:51.526 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:52.480 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:52.490 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:52.500 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:52.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
